"编号","模块","TC描述","前置条件","测试步骤","预期结果","优先级","测试状态","关联测试文件","","","","","","","","","","",""
"001","多租户-身份识别","登录凭证（JWT token）中不含租户ID字段（tenantId claim）时，系统识别为平台管理员","无","1.用不含租户ID的登录凭证（token）登录\n2.查看识别结果","识别结果为平台管理员（isPlatformAdmin=平台管理员标识=true），当前不在任何租户下（currentTenantId=当前所在租户ID=null）","P0","通过","jwt.test.ts / LoginPage.test.tsx","","","","","","","","","","",""
"002","多租户-身份识别","登录凭证（JWT token）中含租户ID字段（tenantId claim）时，系统识别为租户用户","无","1.用含租户ID的登录凭证（token）登录\n2.查看识别结果","当前所在租户ID（currentTenantId）等于凭证携带的租户ID，且平台管理员标识（isPlatformAdmin=false）","P0","通过","jwt.test.ts / LoginPage.test.tsx","","","","","","","","","","",""
"003","多租户-身份识别","登录凭证（token）格式异常或为空时的解析容错","登录凭证为空字符串/不是合法的base64编码/内容被篡改","1.分别用上述异常登录凭证调用解析函数","不抛出异常，返回空值/默认值，不影响登录流程正常执行","P1","通过","jwt.test.ts","","","","","","","","","","",""
"004","多租户-身份识别","平台管理员进入租户后身份保持，租户上下文通过设置租户上下文方法（setTenantContext）更新","平台管理员登录（isPlatformAdmin=平台管理员标识=true），进入某租户后登录凭证携带租户ID（tenantId）","1.平台管理员登录\n2.进入某租户\n3.检查全局状态（store）中的租户字段","当前所在租户ID（currentTenantId）=目标租户、租户名称（tenantName）已设置（数据按租户隔离）；平台管理员标识（isPlatformAdmin）保持为true（身份仍是平台管理员，顶部切换器可用）；前端不解析管理员作用域标记（adminScoped claim），而是通过设置租户上下文（setTenantContext）更新","P0","通过","store.test.ts / useTenantActions.test.tsx","","","","","","","","","","",""
"005","多租户-身份识别","登录凭证（token）过期（过期时间 exp 已过）触发401后清理会话","登录凭证的过期时间（exp）早于当前时间","1.用过期登录凭证发起任意请求\n2.观察响应","接口返回401 → 清理登录态、跳转登录页，不残留半登录状态","P0","通过","http.test.ts / bootstrap.test.tsx","","","","","","","","","","",""
"006","多租户-登录判定","账号角色为管理员（role=ADMIN）且「我的租户」接口（my-tenants）返回非空列表时，仍强制进入全局视角","登录账号角色为管理员（role=ADMIN），「我的租户」接口（my-tenants）返回非空列表","1.用该账号登录","强制不进入任何租户（currentTenantId=null），不会因「我的租户」列表非空而自动进入某个租户","P0","通过","LoginPage.test.tsx","","","","","","","","","","",""
"007","多租户-登录判定","租户用户的登录凭证携带真实租户ID但「我的租户」接口（my-tenants）返回空时，仍直接进入所属租户","登录凭证中携带真实租户ID（tenantId），「我的租户」接口（my-tenants）返回空列表","1.用该账号登录","直接进入登录凭证中租户ID对应的租户空间（跳转首页路由 /），不会被卡在租户选择页","P0","通过","LoginPage.test.tsx","","","","","","","","","","",""
"008","多租户-登录判定","「我的租户」接口（my-tenants）请求失败时的登录兜底行为","模拟「我的租户」接口（my-tenants）请求失败（返回异常）","1.登录流程中触发「我的租户」接口请求失败","登录流程不会因该接口失败而整体中断，会按既定兜底逻辑继续走完登录","P1","通过","LoginPage.test.tsx","","","","","","","","","","",""
"012","多租户-路由权限","全局视角下，刷新路由权限方法（reloadRoutes）只保留租户管理页（/tenants），不请求拉取用户路由权限接口（getUserRoutes）（多次触发均不拉取）","当前不在任何租户下（currentTenantId=null）","1.调用刷新路由权限方法（reloadRoutes）\n2.重复触发","允许访问的路由列表（allowedRoutes）只剩租户管理页一项（allowedRoutes=['/tenants']），拉取用户路由权限接口（getUserRoutes）未被调用","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"013","多租户-路由权限","进入租户空间后，刷新路由权限方法（reloadRoutes）调用拉取用户路由权限接口（getUserRoutes）获取真实业务路由","当前处于某个租户下（currentTenantId=某租户ID）","1.调用刷新路由权限方法（reloadRoutes）","允许访问的路由列表（allowedRoutes）更新为接口返回的路径列表，拉取用户路由权限接口（getUserRoutes）被调用且携带了正确的用户ID（userId）","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"014","多租户-路由权限","路由权限守卫组件（ProtectedRoute）在未登录状态下访问任意受保护路由时重定向到登录页","没有登录凭证（无token）","1.直接访问账号管理页（/permissions）等受保护路由","重定向到登录页（/login）","P0","通过","ProtectedRoute.test.tsx","","","","","","","","","","",""
"015","多租户-路由权限","全局视角下访问非租户管理页（/tenants）的路径时被重定向回租户管理页","已登录，当前不在任何租户下（currentTenantId=null）","1.直接访问账号管理页（/permissions）","重定向到租户管理页（/tenants）","P0","通过","ProtectedRoute.test.tsx","","","","","","","","","","",""
"016","多租户-路由权限","平台管理员在全局视角下访问租户管理页（/tenants）本身允许通过","已登录，当前不在任何租户下（currentTenantId=null），是平台管理员（isPlatformAdmin=true）","1.访问租户管理页（/tenants）","正常渲染，不发生重定向","P0","通过","ProtectedRoute.test.tsx","","","","","","","","","","",""
"017","多租户-路由权限","访问不在允许访问的路由列表（allowedRoutes）内的业务路由时展示403无权限页","路由权限已加载完成（routesLoaded=true），允许访问的路由列表中不含目标路径","1.访问该路径","渲染403无权限页面（ForbiddenPage），不崩溃、不出现空白页","P0","通过","ProtectedRoute.test.tsx","","","","","","","","","","",""
"018","多租户-路由权限","拉取用户路由权限接口（getUserRoutes）失败时路由降级","当前处于某租户下（currentTenantId=某租户），拉取用户路由权限接口（getUserRoutes）模拟失败（mock reject）","1.触发刷新路由权限方法（reloadRoutes）","允许访问的路由列表（allowedRoutes）降级或保持上一次的值，页面不白屏不崩溃，可重试","P1","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"019","多租户-路由权限","租户切换后重新拉取目标租户路由，不沿用旧租户的允许访问路由列表（allowedRoutes）","当前租户ID（currentTenantId）=A，切换至B","1.切换租户\n2.检查允许访问路由列表（allowedRoutes）","刷新路由权限方法（reloadRoutes）重新拉取B的用户路由（getUserRoutes），允许访问路由列表（allowedRoutes）更新为B的路径；路由已加载标记（routesLoaded）直接置为true（并非先重置为false）","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"020","多租户-路由权限","租户空间刷新页面后后台补拉业务路由","处于租户空间，路由已加载标记（routesLoaded=false）","1.刷新页面\n2.观察拉取用户路由权限接口（getUserRoutes）调用","页面加载期间后台调用拉取用户路由权限接口（getUserRoutes）补拉；成功后续航放行；失败按降级处理不白屏","P1","通过","ProtectedRoute.test.tsx","","","","","","","","","","",""
"021","多租户-租户切换","平台管理员从全局视角进入租户时，刷新「可进入的租户列表」缓存（enterableTenants）","当前不在任何租户下（currentTenantId=null），持有系统级登录凭证","1.调用进入租户方法（enterTenant），传入目标租户","调用拉取全部启用租户接口（listTenants），把结果写入「可进入的租户列表」缓存（enterableTenants）；不会调用退出租户接口（exitTenantApi）","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"022","多租户-租户切换","已在租户空间内再次进入其他租户时，复用已有的「可进入的租户列表」缓存（enterableTenants）","当前处于某租户下（currentTenantId=某租户），「可进入的租户列表」缓存（enterableTenants）已存在数据","1.再次调用进入租户方法（enterTenant），传入另一个租户","不会重新调用拉取全部启用租户接口（listTenants），沿用已有缓存","P1","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"023","多租户-租户切换","租户空间内切换到其他租户时，先调用退出租户接口（exitTenantApi）恢复系统登录凭证，再指定使用该凭证（tokenOverride）进入目标","当前处于租户A下（currentTenantId=A），持有租户A范围内的登录凭证（adminScoped token）","1.调用进入租户方法（enterTenant），传入租户B","先调用退出租户接口（exitTenantApi）换回系统级登录凭证，再调用进入租户接口（enterTenantApi）并指定使用刚换回的系统级凭证（tokenOverride）进入租户B，最终登录凭证更新为租户B对应的凭证","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"024","多租户-租户切换","退出租户成功但进入目标租户失败时，回退全局视角并把错误继续上抛","模拟退出租户成功，进入租户失败","1.调用进入租户方法（enterTenant），传入目标租户，并捕获异常","登录凭证回退为系统级凭证，回到不在任何租户下的状态（currentTenantId=null），「可进入的租户列表」缓存（enterableTenants）被清空，允许访问的路由列表收敛为只剩租户管理页（allowedRoutes=['/tenants']），异常会继续向上抛出","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
"025","多租户-租户切换","租户用户（非平台管理员）通过切换租户方法（switchTenant）直接切换到其他租户","当前处于租户A下（currentTenantId=A），不是平台管理员（isPlatformAdmin=false）","1.调用切换租户方法（switchTenant），传入租户B","调用切换租户接口（switchTenantApi），登录凭证和当前所在租户ID（currentTenantId）都更新为租户B，刷新路由权限方法（reloadRoutes）被调用","P0","通过","useTenantActions.test.tsx","","","","","","","","","","",""
